GameN,Date,Year,Round,Region,Favored,Seed,Team,Conf,Score,AdjEM,Overtime,Winner,Result,Score.D,,
53,28-Mar-03,2003,3,EN,F,1,Texas,B12,82,23.49,,Texas,F,4,,
53,28-Mar-03,2003,3,EN,U,5,Connecticut,BE,78,19.54,,Texas,F,4,,
54,28-Mar-03,2003,3,EN,F,6,Maryland,ACC,58,22,,Michigan St.,U,-2,,
54,28-Mar-03,2003,3,EN,U,7,Michigan St.,B10,60,20.26,,Michigan St.,U,-2,,
55,28-Mar-03,2003,3,ES,F,1,Oklahoma,B12,65,23.01,,Oklahoma,F,11,,
55,28-Mar-03,2003,3,ES,U,12,Butler,Horz,54,16.09,,Oklahoma,F,11,,
56,28-Mar-03,2003,3,ES,F,3,Syracuse,BE,79,23.28,,Syracuse,F,1,,
56,28-Mar-03,2003,3,ES,U,10,Auburn,SEC,78,13.63,,Syracuse,F,1,,
57,29-Mar-03,2003,4,WN,F,1,Kentucky,SEC,69,29.18,,Marquette,U,-14,,
57,29-Mar-03,2003,4,WN,U,3,Marquette,CUSA,83,21.3,,Marquette,U,-14,,
58,29-Mar-03,2003,4,WS,F,2,Kansas,B12,78,28.62,,Kansas,F,3,,
58,29-Mar-03,2003,4,WS,U,1,Arizona,P10,75,26.8,,Kansas,F,3,,
59,30-Mar-03,2003,4,EN,F,1,Texas,B12,85,23.49,,Texas,F,9,,
59,30-Mar-03,2003,4,EN,U,7,Michigan St.,B10,76,20.26,,Texas,F,9,,
60,30-Mar-03,2003,4,ES,F,3,Syracuse,BE,63,23.28,,Syracuse,F,16,,
60,30-Mar-03,2003,4,ES,U,1,Oklahoma,B12,47,23.01,,Syracuse,F,16,,
61,5-Apr-03,2003,5,W4,F,2,Kansas,B12,94,28.62,,Kansas,F,33,,
61,5-Apr-03,2003,5,W4,U,3,Marquette,CUSA,61,21.3,,Kansas,F,33,,
62,5-Apr-03,2003,5,E4,F,1,Texas,B12,84,23.49,,Syracuse,U,-11,,
62,5-Apr-03,2003,5,E4,U,3,Syracuse,BE,95,23.28,,Syracuse,U,-11,,
63,7-Apr-03,2003,6,Championship,F,2,Kansas,B12,78,28.62,,Syracuse,U,-3,,
63,7-Apr-03,2003,6,Championship,U,3,Syracuse,BE,81,23.28,,Syracuse,U,-3,,
-1,16-Mar-04,2004,PI,WS,F,16,Lehigh,Pat,57,-7.01,,Florida A&M,U,-15,,
-1,16-Mar-04,2004,PI,WS,U,16,Florida A&M,MEAC,72,-9.35,,Florida A&M,U,-15,,
1,19-Mar-04,2004,1,WN,F,1,Kentucky,SEC,96,23.35,,Kentucky,F,20,,
1,19-Mar-04,2004,1,WN,U,16,Florida A&M,MEAC,76,-9.35,,Kentucky,F,20,,
2,19-Mar-04,2004,1,WN,F,9,UAB,CUSA,102,13.63,,UAB,F,2,,
2,19-Mar-04,2004,1,WN,U,8,Washington,P10,100,10.78,,UAB,F,2,,
3,19-Mar-04,2004,1,WN,F,6,Boston College,BE,58,15.42,,Boston College,F,7,,
3,19-Mar-04,2004,1,WN,U,11,Utah,MWC,51,14.13,,Boston College,F,7,,
4,19-Mar-04,2004,1,WN,F,5,Providence,BE,58,18.32,,Pacific,U,-8,,
4,19-Mar-04,2004,1,WN,U,12,Pacific,BW,66,8.93,,Pacific,U,-8,,
5,18-Mar-04,2004,1,WN,F,10,Nevada,WAC,72,20.27,,Nevada,F,6,,
5,18-Mar-04,2004,1,WN,U,7,Michigan St.,B10,66,15.66,,Nevada,F,6,,
6,19-Mar-04,2004,1,WN,F,4,Kansas,B12,78,20.89,,Kansas,F,25,,
6,19-Mar-04,2004,1,WN,U,13,Illinois Chicago,Horz,53,10.39,,Kansas,F,25,,
7,18-Mar-04,2004,1,WN,F,2,Gonzaga,WCC,76,25.34,,Gonzaga,F,27,,
