Date,Year,Round,Region,Game #,W.Seed,Winner,W. Score,L. Seed,Loser,L.Score
3/19/1987,1987,3,SE,56,2,Syracuse,87,6,Florida,81
3/22/1987,1987,4,NW,57,1,UNLV,84,2,Iowa,81
3/22/1987,1987,4,SW,58,1,Indiana,77,10,LSU,76
3/21/1987,1987,4,NE,59,6,Providence,88,1,Georgetown,73
3/21/1987,1987,4,SE,60,2,Syracuse,79,1,North Carolina,75
3/28/1987,1987,5,F4,61,1,Indiana,97,1,UNLV,93
3/28/1987,1987,5,F4,62,2,Syracuse,77,6,Providence,63
3/30/1987,1987,6,Champ,63,1,Indiana,74,2,Syracuse,73
3/17/1988,1988,1,NW,1,1,Purdue,94,16,Fairleigh Dickinson,79
3/17/1988,1988,1,NW,2,9,Memphis,75,8,Baylor,60
3/17/1988,1988,1,NW,3,5,DePaul,83,12,Wichita St.,62
3/17/1988,1988,1,NW,4,4,Kansas St.,66,13,La Salle,53
3/18/1988,1988,1,NW,5,6,Kansas,85,11,Xavier,72
3/18/1988,1988,1,NW,6,14,Murray St.,78,3,North Carolina St.,75
3/18/1988,1988,1,NW,7,7,Vanderbilt,80,10,Utah St.,77
3/18/1988,1988,1,NW,8,2,Pittsburgh,108,15,Eastern Michigan,90
3/18/1988,1988,1,SW,9,1,Temple,87,16,Lehigh,73
3/18/1988,1988,1,SW,10,8,Georgetown,66,9,LSU,63
3/18/1988,1988,1,SW,11,5,Georgia Tech,90,12,Iowa St.,78
3/18/1988,1988,1,SW,12,13,Richmond,72,4,Indiana,69
3/17/1988,1988,1,SW,13,11,Rhode Island,87,6,Missouri,80
3/17/1988,1988,1,SW,14,3,Syracuse,69,14,North Carolina A&T,55
3/17/1988,1988,1,SW,15,7,SMU,83,10,Notre Dame,75
3/17/1988,1988,1,SW,16,2,Duke,85,15,Boston University,69
3/18/1988,1988,1,NE,17,1,Arizona,90,16,Cornell,50
3/18/1988,1988,1,NE,18,8,Seton Hall,80,9,UTEP,64
3/18/1988,1988,1,NE,19,5,Iowa,102,12,Florida St.,98
3/18/1988,1988,1,NE,20,4,UNLV,54,13,Missouri St.,50
3/17/1988,1988,1,NE,21,6,Florida,62,11,St. John's,59
3/17/1988,1988,1,NE,22,3,Michigan,63,14,Boise St.,58
3/17/1988,1988,1,NE,23,10,Loyola Marymount,119,7,Wyoming,115
3/17/1988,1988,1,NE,24,2,North Carolina,83,15,North Texas,65
3/17/1988,1988,1,SE,25,1,Oklahoma,94,16,Chattanooga,66
3/17/1988,1988,1,SE,26,8,Auburn,90,9,Bradley,86
3/17/1988,1988,1,SE,27,5,Louisville,70,12,Oregon St.,61
3/17/1988,1988,1,SE,28,4,BYU,98,13,Charlotte,92
3/18/1988,1988,1,SE,29,6,Villanova,82,11,Arkansas,74
3/18/1988,1988,1,SE,30,3,Illinois,81,14,UTSA,72
3/18/1988,1988,1,SE,31,7,Maryland,92,10,UC Santa Barbara,82
3/18/1988,1988,1,SE,32,2,Kentucky,99,15,Southern,84
3/19/1988,1988,2,NW,33,1,Purdue,100,9,Memphis,73
3/19/1988,1988,2,NW,34,4,Kansas St.,66,5,DePaul,58
3/20/1988,1988,2,NW,35,6,Kansas,61,14,Murray St.,58
3/20/1988,1988,2,NW,36,7,Vanderbilt,80,2,Pittsburgh,74
3/20/1988,1988,2,SW,37,1,Temple,74,8,Georgetown,53
3/20/1988,1988,2,SW,38,13,Richmond,59,5,Georgia Tech,55
3/19/1988,1988,2,SW,39,11,Rhode Island,97,3,Syracuse,94
3/19/1988,1988,2,SW,40,2,Duke,94,7,SMU,79
3/20/1988,1988,2,NE,41,1,Arizona,84,8,Seton Hall,55
3/20/1988,1988,2,NE,42,5,Iowa,104,4,UNLV,86
3/19/1988,1988,2,NE,43,3,Michigan,108,6,Florida,85
3/19/1988,1988,2,NE,44,2,North Carolina,123,10,Loyola Marymount,97
3/19/1988,1988,2,SE,45,1,Oklahoma,107,8,Auburn,87
3/19/1988,1988,2,SE,46,5,Louisville,97,4,BYU,76
3/20/1988,1988,2,SE,47,6,Villanova,66,3,Illinois,63
3/20/1988,1988,2,SE,48,2,Kentucky,90,7,Maryland,81
3/25/1988,1988,3,NW,49,4,Kansas St.,73,1,Purdue,70
3/25/1988,1988,3,NW,50,6,Kansas,77,7,Vanderbilt,64
3/24/1988,1988,3,SW,51,1,Temple,69,13,Richmond,47
3/24/1988,1988,3,SW,52,2,Duke,73,11,Rhode Island,72
3/25/1988,1988,3,NE,53,1,Arizona,99,5,Iowa,79
3/25/1988,1988,3,NE,54,2,North Carolina,78,3,Michigan,69
3/24/1988,1988,3,SE,55,1,Oklahoma,108,5,Louisville,98
3/24/1988,1988,3,SE,56,6,Villanova,80,2,Kentucky,74
3/27/1988,1988,4,NW,57,6,Kansas,71,4,Kansas St.,58
3/26/1988,1988,4,SW,58,2,Duke,63,1,Temple,53
3/27/1988,1988,4,NE,59,1,Arizona,70,2,North Carolina,52
3/26/1988,1988,4,SE,60,1,Oklahoma,78,6,Villanova,59
4/2/1988,1988,5,F4,61,6,Kansas,66,2,Duke,59
4/2/1988,1988,5,F4,62,1,Oklahoma,86,1,Arizona,78
4/4/1988,1988,6,Champ,63,6,Kansas,83,1,Oklahoma,79
3/16/1989,1989,1,NW,1,1,Illinois,77,16,McNeese St.,71
3/16/1989,1989,1,NW,2,9,Ball St.,68,8,Pittsburgh,64
3/16/1989,1989,1,NW,3,5,Arkansas,120,12,Loyola Marymount,101
3/16/1989,1989,1,NW,4,4,Louisville,76,13,Little Rock,71
3/17/1989,1989,1,NW,5,11,Texas,76,6,Georgia Tech,70
3/17/1989,1989,1,NW,6,3,Missouri,85,14,Creighton,69
3/17/1989,1989,1,NW,7,10,Colorado St.,68,7,Florida,46
3/17/1989,1989,1,NW,8,2,Syracuse,104,15,Bucknell,81
3/16/1989,1989,1,SW,9,1,Oklahoma,72,16,East Tennessee St.,71
3/16/1989,1989,1,SW,10,9,Louisiana Tech,83,8,La Salle,74
3/16/1989,1989,1,SW,11,5,Virginia,100,12,Providence,97
3/16/1989,1989,1,SW,12,13,Middle Tennessee,97,4,Florida St.,83
3/17/1989,1989,1,SW,13,11,South Alabama,86,6,Alabama,84
3/17/1989,1989,1,SW,14,3,Michigan,92,14,Xavier,87
3/17/1989,1989,1,SW,15,7,UCLA,84,10,Iowa St.,74
3/17/1989,1989,1,SW,16,2,North Carolina,93,15,Southern,79
3/17/1989,1989,1,NE,17,1,Georgetown,50,16,Princeton,49
3/17/1989,1989,1,NE,18,9,Notre Dame,81,8,Vanderbilt,65
3/17/1989,1989,1,NE,19,5,North Carolina St.,81,12,South Carolina,66
3/17/1989,1989,1,NE,20,4,Iowa,87,13,Rutgers,73
3/16/1989,1989,1,NE,21,11,Minnesota,86,6,Kansas St.,75
3/16/1989,1989,1,NE,22,14,Siena,80,3,Stanford,78
3/16/1989,1989,1,NE,23,7,West Virginia,84,10,Tennessee,68
3/16/1989,1989,1,NE,24,2,Duke,90,15,South Carolina St.,69
3/16/1989,1989,1,SE,25,1,Arizona,94,16,Robert Morris,60
3/16/1989,1989,1,SE,26,9,Clemson,83,8,Saint Mary's,70
3/16/1989,1989,1,SE,27,12,DePaul,66,5,Memphis,63
3/16/1989,1989,1,SE,28,4,UNLV,68,13,Idaho,56
3/17/1989,1989,1,SE,29,11,Evansville,94,6,Oregon St.,90
