ID,Date,Year,season,Round,Region,F.Rate,F.Rank,F.Seed,F.Team,F.Score,U.Rate,U.Rank,U.Seed,U.Team,U.Score,Overtime,MV,SeD,Upset
93,21-Mar-03,2003,2002-03,1,South,22,13,6,Maryland,75,14.62,37,11,UNC Wilmington,73,,2,5,
94,21-Mar-03,2003,2002-03,1,South,20.26,19,7,Michigan St.,79,15.27,34,10,Colorado,64,,15,3,
95,21-Mar-03,2003,2002-03,1,East,20.75,17,7,Saint Joseph's,63,13.63,46,10,Auburn,65,1 OT,2,-3,10 over 7
96,21-Mar-03,2003,2002-03,1,Midwest,14.25,42,8,Oregon,58,14.04,44,9,Utah,60,,2,-1,
97,21-Mar-03,2003,2002-03,1,South,18.15,23,8,LSU,56,17.42,27,9,Purdue,80,,24,-1,
98,22-Mar-03,2003,2002-03,2,East,23.01,9,1,Oklahoma,74,13.59,47,8,California,65,,9,7,
99,22-Mar-03,2003,2002-03,2,Midwest,21.3,15,3,Marquette,101,17.32,28,6,Missouri,92,1 OT,9,3,
100,22-Mar-03,2003,2002-03,2,Midwest,22.07,12,5,Wisconsin,61,13.04,51,13,Tulsa,60,,1,8,
101,22-Mar-03,2003,2002-03,2,West,26.8,4,1,Arizona,96,15.58,33,9,Gonzaga,95,2 OT,1,8,
102,22-Mar-03,2003,2002-03,2,West,28.62,2,2,Kansas,108,16.49,30,10,Arizona St.,76,,32,8,
103,22-Mar-03,2003,2002-03,2,West,23.75,6,3,Duke,86,10.01,70,11,Central Michigan,60,,26,8,
104,22-Mar-03,2003,2002-03,2,South,19.54,22,5,Connecticut,85,14.57,39,4,Stanford,74,,11,-1,
105,22-Mar-03,2003,2002-03,2,West,24.47,5,4,Illinois,60,20.31,18,5,Notre Dame,68,,8,-1,
106,23-Mar-03,2003,2002-03,2,East,19.87,21,2,Wake Forest,62,13.63,46,10,Auburn,68,,6,-8,10 over 2
107,23-Mar-03,2003,2002-03,2,East,22.75,10,4,Louisville,71,16.09,31,12,Butler,79,,8,-8,12 over 4
108,23-Mar-03,2003,2002-03,2,South,22.14,11,2,Florida,46,20.26,19,7,Michigan St.,68,,22,-5,7 over 2
109,23-Mar-03,2003,2002-03,2,East,23.28,8,3,Syracuse,68,17.67,25,6,Oklahoma St.,56,,12,3,
110,23-Mar-03,2003,2002-03,2,Midwest,29.18,1,1,Kentucky,74,14.04,44,9,Utah,54,,20,8,
111,23-Mar-03,2003,2002-03,2,Midwest,28.61,3,2,Pittsburgh,74,14.48,41,7,Indiana,52,,22,5,
112,23-Mar-03,2003,2002-03,2,South,23.49,7,1,Texas,77,17.42,27,9,Purdue,67,,10,8,
113,23-Mar-03,2003,2002-03,2,South,22,13,6,Maryland,77,19.88,20,3,Xavier,64,,13,-3,6 over 3
114,27-Mar-03,2003,2002-03,3,Midwest,29.18,1,1,Kentucky,63,22.07,12,5,Wisconsin,57,,6,4,
115,27-Mar-03,2003,2002-03,3,West,26.8,4,1,Arizona,88,20.31,18,5,Notre Dame,71,,17,4,
116,27-Mar-03,2003,2002-03,3,West,28.62,2,2,Kansas,69,23.75,6,3,Duke,65,,4,1,
117,27-Mar-03,2003,2002-03,3,Midwest,28.61,3,2,Pittsburgh,74,21.3,15,3,Marquette,77,,3,-1,
118,28-Mar-03,2003,2002-03,3,East,23.01,9,1,Oklahoma,65,16.09,31,12,Butler,54,,11,11,
119,28-Mar-03,2003,2002-03,3,East,23.28,8,3,Syracuse,79,13.63,46,10,Auburn,78,,1,7,
120,28-Mar-03,2003,2002-03,3,South,23.49,7,1,Texas,82,19.54,22,5,Connecticut,78,,4,4,
121,28-Mar-03,2003,2002-03,3,South,22,13,6,Maryland,58,20.26,19,7,Michigan St.,60,,2,-1,
122,29-Mar-03,2003,2002-03,4,Midwest,29.18,1,1,Kentucky,69,21.3,15,3,Marquette,83,,14,-2,
123,29-Mar-03,2003,2002-03,4,West,28.62,2,2,Kansas,78,26.8,4,1,Arizona,75,,3,-1,
124,30-Mar-03,2003,2002-03,4,South,23.49,7,1,Texas,85,20.26,19,7,Michigan St.,76,,9,6,
125,30-Mar-03,2003,2002-03,4,East,23.28,8,3,Syracuse,63,23.01,9,1,Oklahoma,47,,16,-2,
