TransactionDate,TransactionType,SecurityType,Symbol,Quantity,Amount,Price,Commission,Description
3/9/2020,Bought,MF,UOPIX,1.372,-100,72.88,0,PROFUNDS ULTRANASDAQ-100 INV  PROFUNDS                      
3/9/2020,Transfer,UNKNOWN, ,0,1401.18,0,0,TRANSFER FROM XXXXXX2340      REFID:39636781482;
3/9/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:39569470482;
3/11/2020,Direct Debit,UNKNOWN, ,0,-598.25,0,0,ACHDEBIT                      CHASE CREDIT CRD              
3/13/2020,Sold,MF,AMAGX,-2.52,100,39.68,0,AMANA GROWTH INVESTOR         AMANA                         
3/13/2020,Sold,MF,AMAGX,-2.52,100,39.68,0,AMANA GROWTH INVESTOR         AMANA                         
3/13/2020,Sold,MF,AMANX,-2.218,100,45.09,0,AMANA INCOME INVESTOR         AMANA                         
3/13/2020,Sold,MF,ETGLX,-3.008,100,33.24,0,EVENTIDE GILEAD N             EVENTIDE FUNDS                
3/13/2020,Sold,MF,GOLDX,-8.439,100,11.85,0,GABELLI GOLD AAA              GABELLI                       
3/13/2020,Sold,MF,NBGEX,-2.092,100,47.79,0,NEUBERGER BERMAN GENESIS TR   NEUBERGER BERMAN              
3/13/2020,Sold,MF,NNLEX,-4.675,100,21.39,0,NICHOLAS LIMITED EDITION N    NICHOLAS                      
3/13/2020,Sold,MF,NNTWX,-4.496,100,22.24,0,NICHOLAS II N                 NICHOLAS                      
3/13/2020,Sold,MF,OBCHX,-8.41,100,11.89,0,OBERWEIS CHINA OPPORTUNITIES  OBERWEIS                      
3/13/2020,Sold,MF,SEEKX,-2.723,100,36.72,0,CROSSMARK STEWARD LRG CAP ENH CROSSMARK STEWARD FUNDS       
3/13/2020,Sold,MF,TMFGX,-4.505,100,22.2,0,MFAM MID CAP GROWTH INV       MOTLEY FOOL                   
3/13/2020,Sold,MF,TMFGX,-4.505,100,22.2,0,MFAM MID CAP GROWTH INV       MOTLEY FOOL                   
3/13/2020,Sold,MF,WPSGX,-2.689,100,37.19,0,AB CONCENTRATED GROWTH ADVISORALLIANCEBERNSTEIN             
3/16/2020,Dividend,MF,SEEKX,0,4.47,0,0,CROSSMARK STEWARD LRG CAP ENH CROSSMARK STEWARD FUNDS       
3/16/2020,Dividend,MF,SEEKX,0.122,-4.47,0,0,CROSSMARK STEWARD LRG CAP ENH CROSSMARK STEWARD FUNDS       
3/16/2020,Sold,MF,PGRTX,-9.268,100,10.79,0,PRINCIPAL SMALLCAP GROWTH I INPrincipal Funds               
3/16/2020,Sold,MF,PYVLX,-6.601,100,15.15,0,PAYDEN EQUITY INCOME          PAYDENFUNDS                   
3/16/2020,Sold,MF,SFLNX,-7.143,100,14,0,SCHWAB FUNDAMENTAL US LARGE COSCHWAB FUNDS                  
3/16/2020,Sold,MF,SFLNX,-7.143,100,14,0,SCHWAB FUNDAMENTAL US LARGE COSCHWAB FUNDS                  
3/16/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:40326903482;
3/23/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:41090171482;
3/26/2020,Interest,EQ,#2145605,0,0.01,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               
3/30/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:41756212482;
3/31/2020,Dividend,MF,PYVAX,0,2.05,0,0,PAYDEN EQUITY INCOME ADVISER  PAYDENFUNDS                   
3/31/2020,Dividend,MF,PYVAX,0.141,-2.05,0,0,PAYDEN EQUITY INCOME ADVISER  PAYDENFUNDS                   
3/31/2020,Dividend,MF,PYVLX,0,4.39,0,0,PAYDEN EQUITY INCOME          PAYDENFUNDS                   
3/31/2020,Dividend,MF,PYVLX,0.303,-4.39,0,0,PAYDEN EQUITY INCOME          PAYDENFUNDS                   
3/31/2020,Dividend,MF,SVAAX,0,4.03,0,0,FEDERATED STRATEGIC VALUE DIVIFEDERATED                     
3/31/2020,Dividend,MF,SVAAX,0.931,-4.03,0,0,FEDERATED STRATEGIC VALUE DIVIFEDERATED                     
3/31/2020,Transfer,UNKNOWN, ,0,-2000,0,0,TRANSFER TO XXXXXX2340        REFID:41903996482;
4/6/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:42322031482;
4/8/2020,Sold,MF,AMAGX,-9.735,394.07,40.48,0,AMANA GROWTH INVESTOR         AMANA                         
4/8/2020,Sold,MF,ETGLX,-28.451,1000.34,35.16,0,EVENTIDE GILEAD N             EVENTIDE FUNDS                
4/13/2020,Direct Debit,UNKNOWN, ,0,-799.56,0,0,ACHDEBIT                      CHASE CREDIT CRD              
4/13/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:42816222482;
4/20/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:43389184482;
4/27/2020,Interest,BOND,#2021396,0,0.01,0,0,E*TRADE SAVINGS BANK RSDA     INTEREST
4/27/2020,Interest,EQ,#2145605,0,0.02,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               
4/27/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:43915902482;
4/30/2020,Dividend,MF,SVAAX,0,3.09,0,0,FEDERATED STRATEGIC VALUE DIVIFEDERATED                     
4/30/2020,Dividend,MF,SVAAX,0.659,-3.09,0,0,FEDERATED STRATEGIC VALUE DIVIFEDERATED                     
5/1/2020,Transfer,UNKNOWN, ,0,-1500,0,0,TRANSFER TO XXXXXX2340        REFID:44361809482;
5/4/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:44493751482;
5/8/2020,Sold,MF,GOLDX,-35.879,700,19.51,0,GABELLI GOLD AAA              GABELLI                       
5/8/2020,Sold,MF,WPSGX,-22.212,909.8,40.96,0,AB CONCENTRATED GROWTH ADVISORALLIANCEBERNSTEIN             
5/11/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:45002091482;
5/12/2020,Direct Debit,UNKNOWN, ,0,-641.02,0,0,ACHDEBIT                      CHASE CREDIT CRD              
5/13/2020,Bought,MF,BMGAX,3.879,-100,25.78,0,BLACKROCK MID-CAP GROWTH EQUITBLACKROCK                     
5/13/2020,Bought,MF,BPTRX,1.543,-100,64.79,0,BARON PARTNERS RETAIL         BARON CAPITAL GROUP           
5/13/2020,Bought,MF,DXSLX,4.144,-100,24.1307,0,DIREXION MTHLY S&P 500 BULL 2XDIREXION FUNDS                
5/13/2020,Bought,MF,FKDNX,1.056,-100,94.69,0,FRANKLIN DYNATECH A           FRANKLIN TEMPLETON INVESTMENTS
5/13/2020,Bought,MF,MFEGX,0.84,-100,119.08,0,MFS GROWTH A                  MFS                           
5/13/2020,Bought,MF,PYVAX,6.614,-100,15.12,0,PAYDEN EQUITY INCOME ADVISER  PAYDENFUNDS                   
5/13/2020,Bought,MF,RYVYX,0.542,-100,184.36,0,RYDEX NASDAQ-100?? 2X STRATEGY Rydex Funds                  
5/13/2020,Bought,MF,SMPIX,2.037,-100,49.09,0,PROFUNDS SEMICONDUCTOR ULTRASEPROFUNDS                      
5/13/2020,Bought,MF,ULPIX,1.851,-100,54.03,0,PROFUNDS ULTRABULL INV        PROFUNDS                      
5/13/2020,Bought,MF,UOPIX,1.162,-100,86.03,0,PROFUNDS ULTRANASDAQ-100 INV  PROFUNDS                      
5/18/2020,Sold,MF,TMFGX,-26.756,671.58,25.1,0,MFAM MID CAP GROWTH INV       MOTLEY FOOL                   
5/18/2020,Sold,MF,TMFGX,-27.567,691.93,25.1,0,MFAM MID CAP GROWTH INV       MOTLEY FOOL                   
5/18/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:45528880482;
5/19/2020,Sold,MF,AMAGX,-8.716,381.06,43.72,0,AMANA GROWTH INVESTOR         AMANA                         
5/19/2020,Sold,MF,GOLDX,-11,231,21,0,GABELLI GOLD AAA              GABELLI                       
5/21/2020,Transfer,UNKNOWN, ,0,-2000,0,0,TRANSFER TO XXXXXX2340        REFID:45815231482;
5/26/2020,Interest,BOND,#2021396,0,0.01,0,0,E*TRADE SAVINGS BANK RSDA     INTEREST
5/26/2020,Interest,EQ,#2145605,0,0.01,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               
5/26/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:46056491482;
5/29/2020,Dividend,MF,AMANX,0,2.83,0,0,AMANA INCOME INVESTOR         AMANA                         
5/29/2020,Dividend,MF,AMANX,0.057,-2.83,0,0,AMANA INCOME INVESTOR         AMANA                         
5/29/2020,Dividend,MF,SVAAX,0,4.99,0,0,FEDERATED STRATEGIC VALUE DIVIFEDERATED                     
5/29/2020,Dividend,MF,SVAAX,1.066,-4.99,0,0,FEDERATED STRATEGIC VALUE DIVIFEDERATED                     
5/29/2020,Sold,MF,SEEKX,-13.177,544.34,41.31,0,CROSSMARK STEWARD LRG CAP ENH CROSSMARK STEWARD FUNDS       
6/1/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:46518551482;
6/5/2020,Sold,MF,BGSAX,-4.817,200,41.52,0,BLACKROCK TECHNOLOGY OPPORTUNIBLACKROCK                     
6/5/2020,Sold,MF,OBCHX,-29.499,400,13.56,0,OBERWEIS CHINA OPPORTUNITIES  OBERWEIS                      
6/8/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:47125855482;
6/11/2020,Bought,MF,DXSLX,3.654,-100,27.3705,0,DIREXION MTHLY S&P 500 BULL 2XDIREXION FUNDS                
6/11/2020,Bought,MF,PYVAX,22.422,-350,15.61,0,PAYDEN EQUITY INCOME ADVISER  PAYDENFUNDS                   
6/12/2020,Bought,MF,ULPIX,1.642,-100,60.9,0,PROFUNDS ULTRABULL INV        PROFUNDS                      
6/15/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:47759073482;
6/18/2020,Transfer,UNKNOWN, ,0,506.48,0,0,TRANSFER FROM XXXXXX2340      REFID:48044796482;
6/22/2020,Direct Debit,UNKNOWN, ,0,-1001,0,0,ACHDEBIT                      CHASE CREDIT CRD              
6/22/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:48266168482;
6/23/2020,Sold,MF,OBCHX,-13.661,200,14.64,0,OBERWEIS CHINA OPPORTUNITIES  OBERWEIS                      
6/24/2020,Bought,MF,DXSLX,3.537,-100,28.2693,0,DIREXION MTHLY S&P 500 BULL 2XDIREXION FUNDS                
6/24/2020,Bought,MF,SVAAX,21.834,-100,4.58,0,FEDERATED STRATEGIC VALUE DIVIFEDERATED                     
6/24/2020,Bought,MF,ULPIX,1.593,-100,62.79,0,PROFUNDS ULTRABULL INV        PROFUNDS                      
6/25/2020,Direct Debit,UNKNOWN, ,0,-1973.52,0,0,ACHDEBIT                      CHASE CREDIT CRD              
6/26/2020,Interest,BOND,#2021396,0,0.01,0,0,E*TRADE SAVINGS BANK RSDA     INTEREST
6/26/2020,Interest,EQ,#2145605,0,0.02,0,0,EXTENDED INSURANCE SWEEP      DEPOSIT ACCOUNT               
6/29/2020,Transfer,UNKNOWN, ,0,349,0,0,ACH DEPOSIT                   REFID:48773142482;
6/30/2020,Dividend,MF,PYVAX,0,5.93,0,0,PAYDEN EQUITY INCOME ADVISER  PAYDENFUNDS                   
6/30/2020,Dividend,MF,PYVAX,0.379,-5.93,0,0,PAYDEN EQUITY INCOME ADVISER  PAYDENFUNDS                   
6/30/2020,Dividend,MF,PYVLX,0,6.26,0,0,PAYDEN EQUITY INCOME          PAYDENFUNDS                   
6/30/2020,Dividend,MF,PYVLX,0.4,-6.26,0,0,PAYDEN EQUITY INCOME          PAYDENFUNDS                   
6/30/2020,Dividend,MF,SVAAX,0,4.98,0,0,FEDERATED HERMES STRATEGIC VALFEDERATED                     
