"","Date","Year","Round","Region","WSeed","Winner","wConf","WScore","W.AdjEM","LSeed","Loser","Lconf","LScore","AdjEM","Overtime"
"100","15-Mar-86",1986,"2","West",3,"North Carolina","ACC",77,NA,6,"UAB","CUSA",59,NA,""
"101","15-Mar-86",1986,"2","East",12,"DePaul","CUSA",74,NA,4,"Oklahoma","B12",69,NA,""
"102","15-Mar-86",1986,"2","Southeast",11,"LSU","SEC",83,NA,3,"Memphis","CUSA",81,NA,""
"103","15-Mar-86",1986,"2","Midwest",5,"Michigan St.","B10",80,NA,4,"Georgetown","BE",68,NA,""
"104","16-Mar-86",1986,"2","Midwest",6,"North Carolina St.","ACC",80,NA,14,"Arkansas Little Rock","SB",66,NA,"2 OT"
"105","16-Mar-86",1986,"2","Southeast",1,"Kentucky","SEC",71,NA,8,"Western Kentucky","SB",64,NA,""
"106","16-Mar-86",1986,"2","West",4,"UNLV","MWC",70,NA,5,"Maryland","ACC",64,NA,""
"107","16-Mar-86",1986,"2","East",14,"Cleveland St.","Horz",75,NA,6,"Saint Joseph's","A10",69,NA,""
"108","16-Mar-86",1986,"2","West",8,"Auburn","SEC",81,NA,1,"St. John's","BE",65,NA,""
"109","16-Mar-86",1986,"2","East",7,"Navy","Pat",97,NA,2,"Syracuse","BE",85,NA,""
"110","16-Mar-86",1986,"2","Midwest",7,"Iowa St.","B12",72,NA,2,"Michigan","B10",69,NA,""
"111","16-Mar-86",1986,"2","Southeast",5,"Alabama","SEC",58,NA,4,"Illinois","B10",56,NA,""
"112","20-Mar-86",1986,"3","Southeast",1,"Kentucky","SEC",68,NA,5,"Alabama","SEC",63,NA,""
"113","20-Mar-86",1986,"3","West",2,"Louisville","CUSA",94,NA,3,"North Carolina","ACC",79,NA,""
"114","20-Mar-86",1986,"3","Southeast",11,"LSU","SEC",70,NA,2,"Georgia Tech","ACC",64,NA,""
"115","20-Mar-86",1986,"3","West",8,"Auburn","SEC",70,NA,4,"UNLV","MWC",63,NA,""
"116","21-Mar-86",1986,"3","East",1,"Duke","ACC",74,NA,12,"DePaul","CUSA",67,NA,""
"117","21-Mar-86",1986,"3","East",7,"Navy","Pat",71,NA,14,"Cleveland St.","Horz",70,NA,""
"118","21-Mar-86",1986,"3","Midwest",1,"Kansas","B12",96,NA,5,"Michigan St.","B10",86,NA,"1 OT"
"119","21-Mar-86",1986,"3","Midwest",6,"North Carolina St.","ACC",70,NA,7,"Iowa St.","B12",66,NA,""
"120","22-Mar-86",1986,"4","Southeast",11,"LSU","SEC",59,NA,1,"Kentucky","SEC",57,NA,""
"121","22-Mar-86",1986,"4","West",2,"Louisville","CUSA",84,NA,8,"Auburn","SEC",76,NA,""
"122","23-Mar-86",1986,"4","East",1,"Duke","ACC",71,NA,7,"Navy","Pat",50,NA,""
"123","23-Mar-86",1986,"4","Midwest",1,"Kansas","B12",75,NA,6,"North Carolina St.","ACC",67,NA,""
"124","29-Mar-86",1986,"5","Final Four",1,"Duke","ACC",71,NA,1,"Kansas","B12",67,NA,""
"125","29-Mar-86",1986,"5","Final Four",2,"Louisville","CUSA",88,NA,11,"LSU","SEC",77,NA,""
"126","31-Mar-86",1986,"6","Championship",2,"Louisville","CUSA",72,NA,1,"Duke","ACC",69,NA,""
"127","12-Mar-87",1987,"1","Southeast",14,"Austin Peay","OVC",68,NA,3,"Illinois","B10",67,NA,""
"128","12-Mar-87",1987,"1","Midwest",13,"Xavier","A10",70,NA,4,"Missouri","B12",69,NA,""
"129","12-Mar-87",1987,"1","East",1,"North Carolina","ACC",113,NA,16,"Penn","Ivy",82,NA,""
"130","12-Mar-87",1987,"1","East",4,"TCU","CUSA",76,NA,13,"Marshall","MAC",60,NA,""
"131","12-Mar-87",1987,"1","East",5,"Notre Dame","BE",84,NA,12,"Middle Tennessee","SB",71,NA,""
"132","12-Mar-87",1987,"1","Midwest",1,"Indiana","B10",92,NA,16,"Fairfield","MAAC",58,NA,""
"133","12-Mar-87",1987,"1","Midwest",5,"Duke","ACC",58,NA,12,"Texas A&M","B12",51,NA,""
"134","12-Mar-87",1987,"1","Midwest",8,"Auburn","SEC",62,NA,9,"San Diego","WCC",61,NA,""
"135","12-Mar-87",1987,"1","Southeast",2,"Alabama","SEC",88,NA,15,"North Carolina A&T","MEAC",71,NA,""
"136","12-Mar-87",1987,"1","Southeast",6,"Providence","BE",90,NA,11,"UAB","CUSA",68,NA,""
"137","12-Mar-87",1987,"1","Southeast",7,"New Orleans","SB",83,NA,10,"BYU","MWC",79,NA,""
"138","12-Mar-87",1987,"1","West",1,"UNLV","MWC",95,NA,16,"Idaho St.","BSky",70,NA,""
"139","12-Mar-87",1987,"1","West",4,"UCLA","P10",92,NA,13,"Central Michigan","MAC",73,NA,""
"140","12-Mar-87",1987,"1","West",12,"Wyoming","MWC",64,NA,5,"Virginia","ACC",60,NA,""
"141","12-Mar-87",1987,"1","East",9,"Michigan","B10",97,NA,8,"Navy","Pat",82,NA,""
"142","12-Mar-87",1987,"1","West",9,"Kansas St.","B12",82,NA,8,"Georgia","SEC",79,NA,"1 OT"
