"Year","Round","WSeed","Winner","WScore","LSeed","Loser","LScore","Rank.x","AdjEM.x","Rank.y","AdjEM.y"
2004,"2",5,"Syracuse",72,4,"Maryland",70,30,16.34,22,19.81
2004,"2",9,"UAB",76,1,"Kentucky",75,46,13.63,10,23.35
2004,"2",7,"Xavier",89,2,"Mississippi St.",74,21,20.16,14,21.74
2004,"2",2,"Oklahoma St.",70,7,"Memphis",53,4,27.37,33,16.17
2004,"2",3,"Pittsburgh",59,6,"Wisconsin",55,5,25.91,6,25.74
2004,"2",3,"Georgia Tech",57,6,"Boston College",54,8,24.69,37,15.42
2004,"2",4,"Kansas",78,12,"Pacific",63,18,20.89,82,8.93
2004,"2",6,"Vanderbilt",75,3,"North Carolina St.",73,23,18.64,9,23.98
2004,"2",5,"Illinois",92,4,"Cincinnati",68,13,22.11,16,21.56
2004,"3",1,"Saint Joseph's",84,4,"Wake Forest",80,3,27.66,15,21.69
2004,"3",2,"Oklahoma St.",63,3,"Pittsburgh",51,4,27.37,5,25.91
2004,"3",2,"Connecticut",73,6,"Vanderbilt",53,2,28.3,23,18.64
2004,"3",8,"Alabama",80,5,"Syracuse",71,29,16.5,30,16.34
2004,"3",7,"Xavier",79,3,"Texas",71,21,20.16,17,21.54
2004,"3",3,"Georgia Tech",72,10,"Nevada",67,8,24.69,20,20.27
2004,"3",4,"Kansas",100,9,"UAB",74,18,20.89,46,13.63
2004,"3",1,"Duke",72,5,"Illinois",62,1,32.33,13,22.11
2004,"4",2,"Connecticut",87,8,"Alabama",71,2,28.3,29,16.5
2004,"4",2,"Oklahoma St.",64,1,"Saint Joseph's",62,4,27.37,3,27.66
2004,"4",3,"Georgia Tech",79,4,"Kansas",71,8,24.69,18,20.89
2004,"4",1,"Duke",66,7,"Xavier",63,1,32.33,21,20.16
2004,"5",2,"Connecticut",79,1,"Duke",78,2,28.3,1,32.33
2004,"5",3,"Georgia Tech",67,2,"Oklahoma St.",65,8,24.69,4,27.37
2004,"6",2,"Connecticut",82,3,"Georgia Tech",73,2,28.3,8,24.69
2005,"PI",16,"Oakland",79,16,"Alabama A&M",69,178,-1.2,278,-12.49
2005,"1",12,"Milwaukee",83,5,"Alabama",73,36,14.69,18,20.51
2005,"1",11,"UAB",82,6,"LSU",68,51,12.51,42,13.8
2005,"1",1,"Illinois",67,16,"Fairleigh Dickinson",55,2,32.68,190,-2.52
2005,"1",3,"Arizona",66,14,"Utah St.",53,13,22.22,21,19.62
2005,"1",4,"Boston College",85,13,"Penn",65,25,18.3,77,9.6
2005,"1",2,"Kentucky",72,15,"Eastern Kentucky",64,9,24.1,143,1.98
2005,"1",3,"Oklahoma",84,14,"Niagara",67,12,22.55,106,5.43
2005,"1",6,"Utah",60,11,"UTEP",54,20,20.33,58,11.62
2005,"1",7,"Cincinnati",76,10,"Iowa",64,19,20.43,27,17.17
2005,"1",1,"Washington",88,16,"Montana",77,14,22.18,194,-2.73
2005,"1",2,"Wake Forest",70,15,"Chattanooga",54,8,24.86,165,0.03
2005,"1",3,"Gonzaga",74,14,"Winthrop",64,26,17.88,108,4.97
2005,"1",6,"Texas Tech",78,11,"UCLA",66,32,15.47,68,10.74
2005,"1",7,"West Virginia",63,10,"Creighton",61,35,15,39,14.33
2005,"1",8,"Pacific",79,9,"Pittsburgh",71,40,14.08,24,18.41
2005,"1",9,"Nevada",61,8,"Texas",57,55,12.11,28,17.01
2005,"1",14,"Bucknell",64,3,"Kansas",63,95,6.69,11,23.08
2005,"1",13,"Vermont",60,4,"Syracuse",57,43,13.53,16,20.98
2005,"1",1,"North Carolina",96,16,"Oakland",68,1,32.77,178,-1.2
2005,"1",2,"Connecticut",77,15,"UCF",71,15,21.94,192,-2.56
2005,"1",4,"Florida",67,13,"Ohio",62,10,23.93,85,8.29
2005,"1",5,"Villanova",55,12,"New Mexico",47,7,25.02,31,15.54
2005,"1",6,"Wisconsin",57,11,"Northern Iowa",52,17,20.81,45,13.36
2005,"1",2,"Oklahoma St.",63,15,"Southeastern Louisiana",50,6,25.02,134,3.2
2005,"1",7,"Southern Illinois",65,10,"Saint Mary's",56,29,16.75,78,9.41
2005,"1",1,"Duke",57,16,"Delaware St.",46,3,27.41,209,-4.95
2005,"1",5,"Michigan St.",89,12,"Old Dominion",81,5,25.67,73,10.04
2005,"1",4,"Louisville",68,13,"Lafayette",62,4,25.78,275,-12.19
2005,"1",4,"Louisville",68,13,"Lafayette",62,4,25.78,74,9.91
2005,"1",5,"Georgia Tech",80,12,"George Washington",68,22,19.23,38,14.41
2005,"1",10,"North Carolina St.",75,7,"Charlotte",63,23,18.93,54,12.15
2005,"1",9,"Iowa St.",64,8,"Minnesota",53,48,13.02,41,14.06
2005,"1",9,"Mississippi St.",93,8,"Stanford",70,34,15.25,69,10.63
2005,"2",12,"Milwaukee",83,4,"Boston College",75,36,14.69,25,18.3
2005,"2",7,"West Virginia",111,2,"Wake Forest",105,35,15,8,24.86
2005,"2",1,"Illinois",71,9,"Nevada",59,2,32.68,55,12.11
2005,"2",3,"Arizona",85,11,"UAB",63,13,22.22,51,12.51
2005,"2",2,"Kentucky",69,7,"Cincinnati",60,9,24.1,19,20.43
2005,"2",1,"Washington",97,8,"Pacific",79,14,22.18,40,14.08
2005,"2",6,"Utah",67,3,"Oklahoma",58,20,20.33,12,22.55
2005,"2",6,"Texas Tech",71,3,"Gonzaga",69,32,15.47,26,17.88
2005,"2",10,"North Carolina St.",65,2,"Connecticut",62,23,18.93,15,21.94
2005,"2",1,"North Carolina",92,9,"Iowa St.",65,1,32.77,48,13.02
2005,"2",6,"Wisconsin",71,14,"Bucknell",62,17,20.81,95,6.69
2005,"2",2,"Oklahoma St.",85,7,"Southern Illinois",77,6,25.02,29,16.75
2005,"2",1,"Duke",63,9,"Mississippi St.",55,3,27.41,34,15.25
2005,"2",5,"Michigan St.",72,13,"Vermont",61,5,25.67,43,13.53
2005,"2",4,"Louisville",76,5,"Georgia Tech",54,4,25.78,22,19.23
2005,"2",5,"Villanova",76,4,"Florida",65,7,25.02,10,23.93
2005,"3",1,"Illinois",77,12,"Milwaukee",63,2,32.68,36,14.69
2005,"3",4,"Louisville",93,1,"Washington",79,4,25.78,14,22.18
2005,"3",3,"Arizona",79,2,"Oklahoma St.",78,13,22.22,6,25.02
2005,"3",7,"West Virginia",65,6,"Texas Tech",60,35,15,32,15.47
2005,"3",5,"Michigan St.",78,1,"Duke",68,5,25.67,3,27.41
2005,"3",1,"North Carolina",67,5,"Villanova",66,1,32.77,7,25.02
