Date,Year,Round,Region,WSeed,Winner,wConf,WScore,LSeed,Loser,Lconf,LScore,Overtime,MV,SeD,Upset,LEW,LAW,LDW
29-Mar-86,1986,5,Final Four,1,Duke,ACC,71,1,Kansas,B12,67,,4,0,,3.357142857,4,0.642857143
29-Mar-86,1986,5,Final Four,2,Louisville,CUSA,88,11,LSU,SEC,77,,11,9,,0.614285714,4,3.385714286
31-Mar-86,1986,6,Championship,2,Louisville,CUSA,72,1,Duke,ACC,69,,3,-1,,3.357142857,5,1.642857143
12-Mar-87,1987,1,Southeast,14,Austin Peay,OVC,68,3,Illinois,B10,67,,1,-11,14 over 3,1.864285714,0,-1.864285714
12-Mar-87,1987,1,Midwest,13,Xavier,A10,70,4,Missouri,B12,69,,1,-9,13 over 4,1.535714286,0,-1.535714286
12-Mar-87,1987,1,East,1,North Carolina,ACC,113,16,Penn,Ivy,82,,31,15,,0.007142857,0,-0.007142857
12-Mar-87,1987,1,East,4,TCU,CUSA,76,13,Marshall,MAC,60,,16,9,,0.25,0,-0.25
12-Mar-87,1987,1,East,5,Notre Dame,BE,84,12,Middle Tennessee,SB,71,,13,7,,0.514285714,0,-0.514285714
12-Mar-87,1987,1,Midwest,1,Indiana,B10,92,16,Fairfield,MAAC,58,,34,15,,0.007142857,0,-0.007142857
12-Mar-87,1987,1,Midwest,5,Duke,ACC,58,12,Texas A&M,B12,51,,7,7,,0.514285714,0,-0.514285714
12-Mar-87,1987,1,Midwest,8,Auburn,SEC,62,9,San Diego,WCC,61,,1,1,,0.6,0,-0.6
12-Mar-87,1987,1,Southeast,2,Alabama,SEC,88,15,North Carolina A&T,MEAC,71,,17,13,,0.064285714,0,-0.064285714
12-Mar-87,1987,1,Southeast,6,Providence,BE,90,11,UAB,CUSA,68,,22,5,,0.614285714,0,-0.614285714
12-Mar-87,1987,1,Southeast,7,New Orleans,SB,83,10,BYU,MWC,79,,4,3,,0.621428571,0,-0.621428571
12-Mar-87,1987,1,West,1,UNLV,MWC,95,16,Idaho St.,BSky,70,,25,15,,0.007142857,0,-0.007142857
12-Mar-87,1987,1,West,4,UCLA,P10,92,13,Central Michigan,MAC,73,,19,9,,0.25,0,-0.25
12-Mar-87,1987,1,West,12,Wyoming,MWC,64,5,Virginia,ACC,60,,4,-7,12 over 5,1.107142857,0,-1.107142857
12-Mar-87,1987,1,East,9,Michigan,B10,97,8,Navy,Pat,82,,15,-1,,0.7,0,-0.7
12-Mar-87,1987,1,West,9,Kansas St.,B12,82,8,Georgia,SEC,79,1 OT,3,-1,,0.7,0,-0.7
13-Mar-87,1987,1,Southeast,13,Missouri St.,MVC,65,4,Clemson,ACC,60,,5,-9,13 over 4,1.535714286,0,-1.535714286
13-Mar-87,1987,1,East,2,Syracuse,BE,79,15,Georgia Southern,SC,73,,6,13,,0.064285714,0,-0.064285714
13-Mar-87,1987,1,East,3,Purdue,B10,104,14,Northeastern,AE,95,,9,11,,0.164285714,0,-0.164285714
13-Mar-87,1987,1,East,6,Florida,SEC,82,11,North Carolina St.,ACC,70,,12,5,,0.614285714,0,-0.614285714
13-Mar-87,1987,1,Midwest,2,Temple,A10,75,15,Southern,SWAC,56,,19,13,,0.064285714,0,-0.064285714
13-Mar-87,1987,1,Midwest,3,DePaul,CUSA,76,14,Louisiana Tech,WAC,62,,14,11,,0.164285714,0,-0.164285714
13-Mar-87,1987,1,Midwest,6,St. John's,BE,57,11,Wichita St.,MVC,55,,2,5,,0.614285714,0,-0.614285714
