"Year","Round","WSeed","Winner","WScore","LSeed","Loser","LScore","AdjEM.x","AdjO.x","AdjD.x","AdjT.x","Luck.x","SoS.AdjEM.x","OppO.x","OppD.x","NCSOS.AdjEM.x","AdjEM.y","AdjO.y","AdjD.y","AdjT.y","Luck.y","SoS.AdjEM.y","OppO.y","OppD.y","NCSOS.AdjEM.y"
2003,"2",1,"Arizona",96,9,"Gonzaga",95,26.8,115.6,88.8,72.7,-0.007,8.69,107.2,98.5,8.19,15.58,113.2,97.7,66.9,-0.021,3.92,104,100.1,5.83
2003,"2",2,"Kansas",108,10,"Arizona St.",76,28.62,115,86.4,72.2,-0.017,11.84,108.6,96.8,6.07,16.49,113.9,97.4,66.9,-0.014,8.74,106.4,97.7,5.43
2003,"2",3,"Duke",86,11,"Central Michigan",60,23.75,115,91.3,70.7,-0.03,8.85,107.1,98.3,0.64,10.01,109.5,99.4,71.7,0.137,2.06,104.3,102.3,2.86
2003,"2",5,"Connecticut",85,4,"Stanford",74,19.54,111.6,92,71.2,0.005,8.75,107.3,98.6,-3.48,14.57,109.8,95.2,65.6,0.066,7.26,106.2,98.9,3.75
2003,"2",5,"Notre Dame",68,4,"Illinois",60,20.31,116.5,96.2,69.2,0.009,11.01,107.4,96.3,3.78,24.47,113.2,88.7,67.8,-0.029,7.29,105.8,98.5,-4.18
2003,"2",10,"Auburn",68,2,"Wake Forest",62,13.63,107.7,94.1,66.6,0.051,8.22,106,97.8,-4.71,19.87,114.5,94.6,67.7,0.073,7.83,105.8,98,-3.8
2003,"2",12,"Butler",79,4,"Louisville",71,16.09,115.4,99.3,58.6,0.073,4.1,104.5,100.4,1.84,22.75,115.8,93,72.5,-0.029,6.8,105.4,98.6,6.01
2003,"2",7,"Michigan St.",68,2,"Florida",46,20.26,110.1,89.9,63.6,-0.05,10.11,107.3,97.2,3.2,22.14,116.5,94.4,65,0.008,8.3,105.9,97.6,-0.9
2003,"2",3,"Syracuse",68,6,"Oklahoma St.",56,23.28,114.4,91.1,71,0.083,10.32,106.6,96.3,-3.63,17.67,105.9,88.2,66.7,0.003,9.08,106.3,97.2,-1.17
2003,"2",1,"Kentucky",74,9,"Utah",54,29.18,116.5,87.4,67.7,0.051,11.2,108.6,97.4,6.77,14.04,106.6,92.6,62.1,0.069,5.24,106.7,101.5,1.55
2003,"2",2,"Pittsburgh",74,7,"Indiana",52,28.61,114.8,86.2,64.7,-0.023,7.08,105.5,98.4,-8.24,14.48,113.4,98.9,63.7,0.05,10.49,107.2,96.8,9.29
2003,"2",1,"Texas",77,9,"Purdue",67,23.49,119.3,95.8,69.4,-0.009,10.36,107.1,96.7,2.16,17.42,107,89.6,69.3,-0.012,9.53,107.6,98,4.87
2003,"2",6,"Maryland",77,3,"Xavier",64,22,110.9,88.9,71.5,-0.078,8.23,106.6,98.4,-5.29,19.88,113.8,94,67.7,0.018,4.79,105,100.2,4.81
2003,"3",1,"Kentucky",63,5,"Wisconsin",57,29.18,116.5,87.4,67.7,0.051,11.2,108.6,97.4,6.77,22.07,114.4,92.4,61.9,-0.024,6.46,106.1,99.6,-1.01
2003,"3",1,"Arizona",88,5,"Notre Dame",71,26.8,115.6,88.8,72.7,-0.007,8.69,107.2,98.5,8.19,20.31,116.5,96.2,69.2,0.009,11.01,107.4,96.3,3.78
