Year,Round,Fseed,Favored,Fscore,Useed,Underdog,Uscore,Winner
2005,1,7,Southern Illinois,65,10,Saint Mary's,56,Southern Illinois
2005,1,1,Duke,57,16,Delaware St.,46,Duke
2005,1,5,Michigan St.,89,12,Old Dominion,81,Michigan St.
2005,1,4,Louisville,68,13,Lafayette,62,Louisville
2005,1,4,Louisville,68,13,Lafayette,62,Louisville
2005,1,5,Georgia Tech,80,12,George Washington,68,Georgia Tech
2005,1,10,North Carolina St.,75,7,Charlotte,63,North Carolina St.
2005,1,8,Minnesota,53,9,Iowa St.,64,Iowa St.
2005,1,9,Mississippi St.,93,8,Stanford,70,Mississippi St.
2005,2,4,Boston College,75,12,Milwaukee,83,Milwaukee
2005,2,2,Wake Forest,105,7,West Virginia,111,West Virginia
2005,2,1,Illinois,71,9,Nevada,59,Illinois
2005,2,3,Arizona,85,11,UAB,63,Arizona
2005,2,2,Kentucky,69,7,Cincinnati,60,Kentucky
2005,2,1,Washington,97,8,Pacific,79,Washington
2005,2,3,Oklahoma,58,6,Utah,67,Utah
2005,2,3,Gonzaga,69,6,Texas Tech,71,Texas Tech
2005,2,2,Connecticut,62,10,North Carolina St.,65,North Carolina St.
2005,2,1,North Carolina,92,9,Iowa St.,65,North Carolina
2005,2,6,Wisconsin,71,14,Bucknell,62,Wisconsin
2005,2,2,Oklahoma St.,85,7,Southern Illinois,77,Oklahoma St.
2005,2,1,Duke,63,9,Mississippi St.,55,Duke
2005,2,5,Michigan St.,72,13,Vermont,61,Michigan St.
2005,2,4,Louisville,76,5,Georgia Tech,54,Louisville
2005,2,5,Villanova,76,4,Florida,65,Villanova
2005,3,1,Illinois,77,12,Milwaukee,63,Illinois
2005,3,4,Louisville,93,1,Washington,79,Louisville
2005,3,2,Oklahoma St.,78,3,Arizona,79,Arizona
2005,3,6,Texas Tech,60,7,West Virginia,65,West Virginia
2005,3,1,Duke,68,5,Michigan St.,78,Michigan St.
2005,3,1,North Carolina,67,5,Villanova,66,North Carolina
2005,3,6,Wisconsin,65,10,North Carolina St.,56,Wisconsin
2005,3,2,Kentucky,62,6,Utah,52,Kentucky
2005,4,1,Illinois,90,3,Arizona,89,Illinois
2005,4,4,Louisville,93,7,West Virginia,85,Louisville
2005,4,5,Michigan St.,94,2,Kentucky,88,Michigan St.
2005,4,1,North Carolina,88,6,Wisconsin,82,North Carolina
2005,5,1,North Carolina,87,5,Michigan St.,71,North Carolina
2005,5,1,Illinois,72,4,Louisville,57,Illinois
2005,6,1,North Carolina,75,1,Illinois,70,North Carolina
2006,PI,16,Monmouth,71,16,Hampton,49,Monmouth
2006,1,5,Nevada,79,12,Montana,87,Montana
2006,1,12,Texas A&M,66,5,Syracuse,58,Texas A&M
2006,1,6,Oklahoma,74,11,Milwaukee,82,Milwaukee
2006,1,7,Marquette,85,10,Alabama,90,Alabama
2006,1,2,Tennessee,63,15,Winthrop,61,Tennessee
2006,1,4,Illinois,78,13,Air Force,69,Illinois
2006,1,5,Washington,75,12,Utah St.,61,Washington
2006,1,7,Wichita St.,86,10,Seton Hall,66,Wichita St.
2006,1,3,Florida,76,14,South Alabama,50,Florida
2006,1,4,Boston College,88,13,Pacific,76,Boston College
2006,1,1,Duke,70,16,Southern,54,Duke
2006,1,4,LSU,80,13,Iona,64,LSU
2006,1,9,UNC Wilmington,85,8,George Washington,88,George Washington
2006,1,2,UCLA,78,15,Belmont,44,UCLA
2006,1,3,Gonzaga,79,14,Xavier,75,Gonzaga
2006,1,6,Indiana,87,11,San Diego St.,83,Indiana
2006,1,3,Iowa,63,14,Northwestern St.,64,Northwestern St.
2006,1,4,Kansas,73,13,Bradley,77,Bradley
2006,1,11,George Mason,75,6,Michigan St.,65,George Mason
2006,1,10,North Carolina St.,58,7,California,52,North Carolina St.
2006,1,1,Connecticut,72,16,Albany,59,Connecticut
2006,1,3,North Carolina,69,14,Murray St.,65,North Carolina
2006,1,8,Kentucky,69,9,UAB,64,Kentucky
2006,1,1,Villanova,58,16,Monmouth,45,Villanova
2006,1,2,Ohio St.,70,15,Davidson,62,Ohio St.
2006,1,7,Georgetown,54,10,Northern Iowa,49,Georgetown
2006,1,8,Arizona,94,9,Wisconsin,75,Arizona
2006,1,2,Texas,60,15,Penn,52,Texas
2006,1,6,West Virginia,64,11,Southern Illinois,46,West Virginia
2006,1,1,Memphis,94,16,Oral Roberts,78,Memphis
2006,1,5,Pittsburgh,79,12,Kent St.,64,Pittsburgh
2006,1,8,Arkansas,55,9,Bucknell,59,Bucknell
2006,2,2,Tennessee,73,7,Wichita St.,80,Wichita St.
2006,2,3,Florida,82,11,Milwaukee,60,Florida
2006,2,4,Boston College,69,12,Montana,56,Boston College
2006,2,1,Duke,74,8,George Washington,61,Duke
2006,2,4,LSU,58,12,Texas A&M,57,LSU
2006,2,2,UCLA,62,10,Alabama,59,UCLA
2006,2,3,Gonzaga,90,6,Indiana,80,Gonzaga
2006,2,4,Illinois,64,5,Washington,67,Washington
2006,2,3,North Carolina,60,11,George Mason,65,George Mason
2006,2,5,Pittsburgh,66,13,Bradley,72,Bradley
2006,2,7,Georgetown,70,2,Ohio St.,52,Georgetown
2006,2,1,Connecticut,87,8,Kentucky,83,Connecticut
2006,2,1,Villanova,82,8,Arizona,78,Villanova
2006,2,2,Texas,75,10,North Carolina St.,54,Texas
2006,2,6,West Virginia,67,14,Northwestern St.,54,West Virginia
2006,2,1,Memphis,72,9,Bucknell,56,Memphis
2006,3,1,Duke,54,4,LSU,62,LSU
2006,3,2,Texas,74,6,West Virginia,71,Texas
2006,3,1,Memphis,80,13,Bradley,64,Memphis
2006,3,2,UCLA,73,3,Gonzaga,71,UCLA
2006,3,11,George Mason,63,7,Wichita St.,55,George Mason
2006,3,1,Connecticut,98,5,Washington,92,Connecticut
2006,3,1,Villanova,60,4,Boston College,59,Villanova
2006,3,3,Florida,57,7,Georgetown,53,Florida
2006,4,2,Texas,60,4,LSU,70,LSU
2006,4,1,Memphis,45,2,UCLA,50,UCLA
